aggregator,lpra_version,attack,n_att,k,seed,rounds,strength,direction,final_f1,mean_last3_f1,rounds_all_attackers_rejected,attacker_rejections,honest_rejections,time_s
multi_krum,v2,none,0,5,44,10,,,0.9385363611994026,0.9385650273536096,0,0,10,1.813079949999974
lpra,v2,none,0,5,44,10,,,0.970454789039334,0.9705283428689516,0,0,0,1.941607390000172
fedavg,v2,scale,1,5,44,10,,,0.9715870701610896,0.9547016688646169,0,0,0,1.882646306999959
median,v2,scale,1,5,44,10,,,0.9388208269525268,0.9388510311791762,0,0,0,1.7104848500002845
trimmed_mean,v2,scale,1,5,44,10,,,0.9389380192182535,0.9388885350537123,0,0,0,1.7737613720000809
krum,v2,scale,1,5,44,10,,,0.9384615384615385,0.938434453907683,10,10,30,1.7286572880002495
multi_krum,v2,scale,1,5,44,10,,,0.9708224706260491,0.9707979628984305,10,10,0,1.733795058999931
lpra,v2,scale,1,5,44,10,,,0.9708571428571429,0.9708469739034259,10,10,0,1.8276228039999296
fedavg,v2,scale,2,5,44,10,,,0.9729114824031283,0.9673697300269133,0,0,0,1.8333087080000041
median,v2,scale,2,5,44,10,,,0.9388567709330372,0.9387515447978728,0,0,0,1.8467596149998826
trimmed_mean,v2,scale,2,5,44,10,,,0.9388567709330372,0.9387515447978728,0,0,0,1.7249944750001305
krum,v2,scale,2,5,44,10,,,0.9410775697363393,0.9410655834720297,10,20,20,1.8618888420000985
multi_krum,v2,scale,2,5,44,10,,,0.9387442572741195,0.9387307134204405,10,20,0,1.6774808650002342
lpra,v2,scale,2,5,44,10,,,0.9388614524711918,0.9388223874055011,10,20,0,1.7824310810001407
fedavg,v2,flip,1,5,44,10,,,0.9208821657243419,0.9366747726752243,0,0,0,1.8119479609999871
median,v2,flip,1,5,44,10,,,0.9391051402763425,0.9390525516113203,0,0,0,1.6944494569997914
trimmed_mean,v2,flip,1,5,44,10,,,0.9458873635775944,0.9413538962865132,0,0,0,1.7551037899997937
krum,v2,flip,1,5,44,10,,,0.9384615384615385,0.938434453907683,10,10,30,1.659445599999799
multi_krum,v2,flip,1,5,44,10,,,0.9708224706260491,0.9707979628984305,10,10,0,1.685483044999728
lpra,v2,flip,1,5,44,10,,,0.9708571428571429,0.9708469739034259,10,10,0,1.8507525479999458
fedavg,v2,flip,2,5,44,10,,,0.9280420012353304,0.9271664838469333,0,0,0,1.7788458200002424
median,v2,flip,2,5,44,10,,,0.9385786996287934,0.9385786996287934,0,0,0,1.705854756000008
trimmed_mean,v2,flip,2,5,44,10,,,0.9385786996287934,0.9385786996287934,0,0,0,1.7301137220001692
krum,v2,flip,2,5,44,10,,,0.9410775697363393,0.9410655834720297,10,20,20,1.739976385999853
multi_krum,v2,flip,2,5,44,10,,,0.9387442572741195,0.9387307134204405,10,20,0,1.7544101890002821
lpra,v2,flip,2,5,44,10,,,0.9388614524711918,0.9388223874055011,10,20,0,1.8648295240000152
fedavg,v2,noise,1,5,44,10,,,0.8625445897740784,0.8838503646869368,0,0,0,1.8159756790000756
median,v2,noise,1,5,44,10,,,0.938902074879412,0.9388900943504416,0,0,0,1.8247479999999996
trimmed_mean,v2,noise,1,5,44,10,,,0.9707101014430632,0.9706747312064877,0,0,0,1.742191386000286
krum,v2,noise,1,5,44,10,,,0.9384615384615385,0.938434453907683,10,10,30,1.7286972010001591
multi_krum,v2,noise,1,5,44,10,,,0.9708224706260491,0.9707979628984305,10,10,0,1.7499330210002881
lpra,v2,noise,1,5,44,10,,,0.9708571428571429,0.9708469739034259,10,10,0,1.8108376620002673
fedavg,v2,noise,2,5,44,10,,,0.5729363735935478,0.7807757864104644,0,0,0,1.8349668589999055
median,v2,noise,2,5,44,10,,,0.9387395665824335,0.9387291498565452,0,0,0,1.7893036519999441
trimmed_mean,v2,noise,2,5,44,10,,,0.9387395665824335,0.9387291498565452,0,0,0,1.7139015450002262
krum,v2,noise,2,5,44,10,,,0.9410775697363393,0.9410655834720297,10,20,20,1.796753654999975
multi_krum,v2,noise,2,5,44,10,,,0.9387442572741195,0.9387307134204405,10,20,0,1.6650272779997977
lpra,v2,noise,2,5,44,10,,,0.9388614524711918,0.9388223874055011,10,20,0,1.7971752190001098
fedavg,v2,stealth,1,5,44,10,,,0.9708592243411185,0.9708347218644056,0,0,0,1.9013270499999635
median,v2,stealth,1,5,44,10,,,0.938902074879412,0.9389036340567999,0,0,0,1.6758616709998932
trimmed_mean,v2,stealth,1,5,44,10,,,0.9389473684210526,0.9389202910814013,0,0,0,1.7119267610000861
krum,v2,stealth,1,5,44,10,,,0.9380985214127021,0.9385050531222796,10,10,30,1.696290278000106
multi_krum,v2,stealth,1,5,44,10,,,0.9386989317302906,0.938661425342484,0,0,10,1.784679757000049
lpra,v2,stealth,1,5,44,10,,,0.9708592243411185,0.9708347218644056,0,0,0,2.0282278489999044
fedavg,v2,stealth,2,5,44,10,,,0.9388614524711918,0.9387395593225852,0,0,0,1.9473695380002027
median,v2,stealth,2,5,44,10,,,0.9386989317302906,0.9387666523352923,0,0,0,1.7667138069996327
trimmed_mean,v2,stealth,2,5,44,10,,,0.9386989317302906,0.9387666523352923,0,0,0,1.7800068619999365
krum,v2,stealth,2,5,44,10,,,0.9386582937662735,0.9386989286185358,0,10,30,1.7390044290000333
multi_krum,v2,stealth,2,5,44,10,,,0.9384096828558296,0.938588969450798,0,0,20,1.728284973999962
lpra,v2,stealth,2,5,44,10,,,0.9388614524711918,0.9387395593225852,0,0,0,1.8654593480000585
